Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,60000,1,500,0.84,59900,60200,59300,12779724,765245322796,358186953000000,5969782550,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,563000,1,12000,2.18,554000,565000,549000,365145,204143750000,131742000000000,234000000,STK
000660,KR7000660001,SK하이닉스,KOSPI,,84300,1,1000,1.2,83200,84700,82400,2860341,239400949084,61370599369500,728002365,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,778000,1,2000,0.26,777000,779000,767000,46901,36343304000,55373372000000,71174000,STK
006400,KR7006400006,삼성SDI,KOSPI,,738000,1,1000,0.14,738000,745000,722000,212946,156519711000,50748223140000,68764530,STK
051910,KR7051910008,LG화학,KOSPI,,718000,1,11000,1.56,714000,727000,699000,291597,208342091000,50685302274000,70592343,STK
005935,KR7005931001,삼성전자우,KOSPI,,53100,2,-100,-0.19,52800,53500,52600,943870,50079506100,43695283770000,822886700,STK
005380,KR7005380001,현대차,KOSPI,,176000,1,1000,0.57,174400,176300,173500,529759,92644976400,37229545056000,211531506,STK
035420,KR7035420009,NAVER,KOSPI,,202500,1,2700,1.35,199800,203000,194600,1035513,205818775700,33219939712500,164049085,STK
000270,KR7000270009,기아,KOSPI,,78800,1,800,1.03,77700,79200,77400,1422962,111544290500,31942631743600,405363347,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,327000,1,6500,2.03,318000,328000,315500,585821,188793414000,27654792210000,84571230,STK
035720,KR7035720002,카카오,KOSPI,,60800,1,2700,4.65,60300,62400,58800,5720123,346655744000,27091776422400,445588428,STK
068270,KR7068270008,셀트리온,KOSPI,,155400,1,700,0.45,154200,156400,151300,414435,63635441700,21883348746000,140819490,STK
012330,KR7012330007,현대모비스,KOSPI,,218500,1,2000,0.92,217000,219500,215500,152414,33185042000,20601293039000,94285094,STK
105560,KR7105560007,KB금융,KOSPI,,50300,1,600,1.21,49600,50600,49050,1003507,50050786950,20567522520400,408897068,STK
028260,KR7028260008,삼성물산,KOSPI,,108900,2,-400,-0.37,110000,110300,108400,247331,26978968900,20352003120900,186887081,STK
247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,203000,1,9400,4.86,190400,205500,190300,3398373,681682364200,19853672832000,97801344,KSQ
003670,KR7003670007,포스코케미칼,KOSPI,,248500,1,1500,0.61,243500,249000,241500,897218,220127468000,19249610170000,77463220,STK
066570,KR7066570003,LG전자,KOSPI,,117500,1,1800,1.56,116000,118500,113600,851620,99044879600,19228618145000,163647814,STK
055550,KR7055550008,신한지주,KOSPI,,36050,1,250,0.7,35700,36150,35100,1243036,44395006400,18341694527450,508784869,STK
096770,KR7096770003,SK이노베이션,KOSPI,,176100,1,2600,1.5,171800,176500,168600,736068,127300331958,16283185820400,92465564,STK
003550,KR7003550001,LG,KOSPI,,88300,1,2400,2.79,88200,92600,85800,1294831,115054823700,13889677681900,157300993,STK
032830,KR7032830002,삼성생명,KOSPI,,66900,1,300,0.45,67000,67100,65700,175799,11687757200,13380000000000,200000000,STK
034730,KR7034730002,SK,KOSPI,,172700,1,400,0.23,172200,173200,170200,121326,20848936000,12805589118300,74149329,STK
086790,KR7086790003,하나금융지주,KOSPI,,42700,1,450,1.07,42000,42850,41550,824463,34862254950,12635078425200,295903476,STK
033780,KR7033780008,KT&G,KOSPI,,85400,1,300,0.35,85800,86000,84200,296157,25213356200,11724779243800,137292497,STK
323410,KR7323410001,카카오뱅크,KOSPI,,24400,1,450,1.88,23700,24650,23500,2459187,59354349400,11632227542800,476730637,STK
009150,KR7009150004,삼성전기,KOSPI,,152900,1,4400,2.96,147500,152900,147200,440818,66490583000,11420666118400,74693696,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,17810,2,-80,-0.45,17780,18040,17400,6962135,123148053390,11368266067730,638308033,STK
015760,KR7015760002,한국전력,KOSPI,,17510,2,-120,-0.68,17490,17600,17390,846690,14783255600,11240790988270,641964077,STK
010130,KR7010130003,고려아연,KOSPI,,545000,1,13000,2.44,529000,547000,527000,61391,33181089000,10825421110000,19863158,STK
000810,KR7000810002,삼성화재,KOSPI,,218000,1,4000,1.87,215500,218000,213500,102903,22256574500,10327714466000,47374837,STK
017670,KR7017670001,SK텔레콤,KOSPI,,46500,2,-100,-0.21,46500,46900,45850,410447,19058945700,10175741196000,218833144,STK
011200,KR7011200003,HMM,KOSPI,,20350,2,-300,-1.45,20600,20700,20200,1125095,22936979250,9951953743600,489039496,STK
091990,KR7091990002,셀트리온헬스케어,KOSDAQ GLOBAL,우량기업부,62300,3,0,0.0,62200,62900,59800,992677,60943774600,9859131435300,158252511,KSQ
051900,KR7051900009,LG생활건강,KOSPI,,607000,1,4000,0.66,602000,612000,598000,55433,33526575000,9480245579000,15618197,STK
086520,KR7086520004,에코프로,KOSDAQ,우량기업부,361500,1,53000,17.18,308500,364000,308500,2762413,946904937000,9308766346500,25750391,KSQ
018260,KR7018260000,삼성에스디에스,KOSPI,,120100,1,300,0.25,119500,120500,118600,107410,12844130700,9293073780000,77377800,STK
010950,KR7010950004,S-Oil,KOSPI,,81400,1,100,0.12,81000,81800,80200,176149,14279738100,9164239268800,112582792,STK
329180,KR7329180004,현대중공업,KOSPI,,98400,1,3500,3.69,94300,98500,91500,327103,31091299300,8735274614400,88773116,STK
036570,KR7036570000,엔씨소프트,KOSPI,,396500,1,500,0.13,399500,400000,390500,89461,35467580000,8704769723000,21954022,STK
003490,KR7003490000,대한항공,KOSPI,,23150,1,50,0.22,23000,23250,22800,1054255,24278901500,8524308302150,368220661,STK
066970,KR7066970005,엘앤에프,KOSDAQ GLOBAL,중견기업부,236000,1,1500,0.64,232500,239000,228500,754143,176117690500,8500322576000,36018316,KSQ
316140,KR7316140003,우리금융지주,KOSPI,,11400,1,100,0.88,11250,11430,11150,2047813,23105131940,8299890258600,728060549,STK
377300,KR7377300009,카카오페이,KOSPI,,60700,1,1500,2.53,59300,60900,58800,457348,27423144100,8114860932300,133687989,STK
259960,KR7259960003,크래프톤,KOSPI,,163500,1,1600,0.99,161000,164100,161000,131566,21376113700,8050296915000,49237290,STK
009830,KR7009830001,한화솔루션,KOSPI,,41600,0,0,0.0,0,0,0,0,0,7957185475200,191278497,STK
024110,KR7024110009,기업은행,KOSPI,,9890,1,20,0.2,9800,9920,9760,833563,8200586480,7886541844410,797425869,STK
352820,KR7352820005,하이브,KOSPI,,189600,1,5900,3.21,185600,196600,182600,849993,161426060600,7840602175200,41353387,STK
030200,KR7030200000,KT,KOSPI,,29750,2,-300,-1.0,29650,29900,29500,1152552,34222440700,7768076288000,261111808,STK
